block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
minecraft:stone,default,16,384,0,0.714047,0.017413,0.036529,0.245379,0.365244,64
minecraft:stone,default,64,1536,0,1.169380,0.057798,0.082735,0.584274,0.863857,64
minecraft:stone,floor_8x8,64,640,0,0.678891,0.026790,0.053770,0.257011,0.417621,64
minecraft:stone,solid_4x4x4,64,384,0,0.593361,0.013675,0.030557,0.233086,0.305261,64
minecraft:stone_slab,default,16,384,0,1.112523,0.015690,0.034034,0.233357,0.265127,64
minecraft:stone_slab,default,64,1536,0,0.884215,0.044504,0.083296,0.400069,0.504875,64
minecraft:stone_slab,floor_8x8,64,1536,0,0.840914,0.057518,0.087243,0.340918,0.389088,64
minecraft:stone_slab,solid_4x4x4,64,1536,0,1.803466,0.037290,0.061876,0.306634,0.385692,64
minecraft:glass,default,16,384,0,0.584976,0.018896,0.032571,0.235862,0.289142,64
minecraft:glass,default,64,1536,0,0.989202,0.048932,0.066605,0.455723,0.582530,64
minecraft:glass_pane,default,16,384,0,0.712554,0.016801,0.027281,0.194194,0.246852,64
minecraft:glass_pane,default,64,1536,0,1.268084,0.033713,0.043191,0.260868,0.348021,64
minecraft:oak_stairs,default,16,768,0,0.445434,0.022502,0.044223,0.244428,0.321702,64
minecraft:oak_stairs,default,64,3072,0,1.082907,0.072526,0.096861,0.553156,0.684982,64
minecraft:redstone_lamp,default,16,384,0,0.152125,0.014317,0.039254,0.237264,0.299952,64
minecraft:redstone_lamp,default,64,1536,0,0.450855,0.042960,0.063338,0.447848,0.492251,64
minecraft:chest,default,16,0,16,0.015338,0.085380,0.115306,0.343713,0.385131,32
minecraft:chest,default,64,0,64,0.024756,0.251531,0.347330,0.669513,0.812381,32
minecraft:iron_door,default,16,640,0,0.261871,0.022332,0.038492,0.250829,0.318597,64
minecraft:iron_door,default,64,2560,0,0.962051,0.057818,0.073077,0.546603,0.631382,64
minecraft:iron_door,door_open,64,2560,0,0.747941,0.052268,0.065433,0.422161,0.450203,64
vandorlabs:impulse_engine,default,16,3840,0,0.846043,0.078116,0.110117,0.436357,0.465111,64
vandorlabs:impulse_engine,default,64,15360,0,2.295658,0.269034,0.325359,1.111180,1.220615,64
vandorlabs:impulse_engine_hexagonal,default,64,17920,0,7.158622,0.284884,0.331149,0.921214,0.980125,64
vandorlabs:impulse_engine_wedge,default,64,15104,0,2.461037,0.241482,0.286106,0.793386,0.924090,64
vandorlabs:impulse_engine,engine_joined,64,2512,0,1.509066,0.059131,0.076092,0.538348,0.603270,64
vandorlabs:ion_drive,default,16,4224,0,0.577181,0.084217,0.099477,0.420808,0.475871,64
vandorlabs:ion_drive,default,64,16896,0,1.964858,0.272820,0.313778,1.039336,1.109617,64
vandorlabs:ion_drive_hexagonal,default,64,13824,0,1.583575,0.222006,0.256380,0.764521,0.823171,64
vandorlabs:ion_drive_wedge,default,64,11520,0,1.289194,0.184335,0.205305,0.711161,0.796882,64
vandorlabs:ion_drive,engine_joined,64,1728,0,1.257654,0.042770,0.062126,0.481201,0.523660,64
vandorlabs:plasma_vent,default,16,3072,0,0.463197,0.068247,0.093114,0.402583,0.494717,64
vandorlabs:plasma_vent,default,64,12288,0,1.471275,0.222717,0.260959,0.986126,1.094338,64
vandorlabs:plasma_vent_hexagonal,default,64,13824,0,1.983664,0.232676,0.266860,0.782254,0.880088,64
vandorlabs:plasma_vent_wedge,default,64,12032,0,1.573556,0.200826,0.244257,0.712484,0.807422,64
vandorlabs:plasma_vent,engine_joined,64,2240,0,1.365717,0.053250,0.068799,0.521006,0.576880,64
vandorlabs:programmable_block,default,16,0,16,0.052739,0.047209,0.076583,0.324588,0.397254,2976
vandorlabs:programmable_block,default,64,0,64,0.058710,0.139831,0.214011,0.746728,0.848208,11808
vandorlabs:programmable_block,floor_8x8,64,0,64,0.048080,0.162434,0.233437,0.544620,0.660126,11808
vandorlabs:programmable_block,solid_4x4x4,64,0,64,0.042730,0.119083,0.139441,0.532737,0.599733,11808
vandorlabs:programmable_block,facing_down,16,0,16,0.020939,0.038652,0.056105,0.286196,0.324678,2976
vandorlabs:programmable_block,facing_up,16,0,16,0.020709,0.041147,0.062527,0.302296,0.366817,2976
vandorlabs:programmable_block,facing_north,16,0,16,0.020489,0.037780,0.055424,0.289943,0.353572,2976
vandorlabs:programmable_block,facing_south,16,0,16,0.021811,0.041729,0.056375,0.322324,0.401051,2976
vandorlabs:programmable_block,facing_west,16,0,16,0.037009,0.038633,0.064751,0.305081,0.366987,2976
vandorlabs:programmable_block,facing_east,16,0,16,0.020919,0.036959,0.061084,0.284923,0.382977,2976
vandorlabs:programmable_chair,default,16,8064,0,3.298566,0.127789,0.154159,0.450353,0.505957,64
vandorlabs:programmable_chair,default,64,32256,0,5.502672,0.474068,0.526826,1.120237,1.201639,64
vandorlabs:programmable_console,default,16,0,16,0.028363,0.208230,0.281797,0.506588,0.612256,18976
vandorlabs:programmable_console,default,64,0,64,0.060333,0.650608,0.709348,1.227017,1.329048,75808
vandorlabs:programmable_diagonal_screen,default,16,0,16,0.030197,0.152997,0.253615,0.458909,0.563665,2976
vandorlabs:programmable_diagonal_screen,default,64,0,64,0.059882,0.544430,0.608169,1.203443,1.313239,11808
vandorlabs:programmable_diagonal_wall,default,16,0,16,0.020488,0.094607,0.261480,0.365074,0.639006,11808
vandorlabs:programmable_diagonal_wall,default,64,0,64,0.040435,0.282579,0.313107,0.721471,0.785069,47136
vandorlabs:programmable_door,default,16,0,16,0.126316,0.358461,0.545572,0.669854,0.829663,51360
vandorlabs:programmable_door,default,64,0,64,0.291847,1.107022,1.381426,1.719159,2.046141,202272
vandorlabs:programmable_door,door_open,64,0,64,0.249728,1.128542,1.672010,1.896160,2.414079,194080
vandorlabs:programmable_glass,default,16,3072,16,3.625447,0.127909,0.205315,0.431839,0.531194,4416
