block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
minecraft:stone,default,16,384,0,0.621804,0.016340,0.036478,0.256691,0.310271,64
minecraft:stone,default,64,1536,0,1.236805,0.061455,0.080691,0.581038,1.526638,64
minecraft:stone,floor_8x8,64,640,0,0.384800,0.029806,0.044072,0.261670,0.548898,64
minecraft:stone,solid_4x4x4,64,384,0,0.258754,0.016932,0.036148,0.241833,0.290164,64
minecraft:stone_slab,default,16,384,0,0.938317,0.017944,0.033593,0.234389,0.276537,64
minecraft:stone_slab,default,64,1536,0,0.796852,0.039484,0.065954,0.376114,0.439583,64
minecraft:stone_slab,floor_8x8,64,1536,0,0.853208,0.060644,0.087714,0.339255,0.375373,64
minecraft:stone_slab,solid_4x4x4,64,1536,0,1.714009,0.036087,0.053451,0.298669,0.380823,64
minecraft:glass,default,16,384,0,0.348763,0.016071,0.031549,0.242725,0.306364,64
minecraft:glass,default,64,1536,0,0.596346,0.042179,0.055855,0.431367,0.487172,64
minecraft:glass_pane,default,16,384,0,0.388067,0.015910,0.029134,0.204222,0.248736,64
minecraft:glass_pane,default,64,1536,0,0.969185,0.035637,0.047579,0.277750,0.340287,64
minecraft:oak_stairs,default,16,768,0,0.387526,0.022913,0.036157,0.249217,0.317695,64
minecraft:oak_stairs,default,64,3072,0,1.038023,0.072906,0.099115,0.536204,0.585316,64
minecraft:redstone_lamp,default,16,384,0,0.207779,0.018575,0.031209,0.241713,0.308498,64
minecraft:redstone_lamp,default,64,1536,0,0.454050,0.047288,0.072396,0.454632,0.553887,64
minecraft:chest,default,16,0,16,0.015810,0.093034,0.133290,0.358030,0.410077,32
minecraft:chest,default,64,0,64,0.026169,0.258704,0.304701,0.660276,0.735527,32
minecraft:iron_door,default,16,640,0,0.299180,0.023945,0.036318,0.256350,0.324186,64
minecraft:iron_door,default,64,2560,0,1.156665,0.067577,0.089828,0.567573,0.693969,64
minecraft:iron_door,door_open,64,2560,0,0.781553,0.056586,0.084589,0.427491,0.492122,64
vandorlabs:impulse_engine,default,16,3840,0,0.734475,0.084158,0.105327,0.443360,0.613008,64
vandorlabs:impulse_engine,default,64,15360,0,1.983624,0.280505,0.324768,1.076084,1.186912,64
vandorlabs:impulse_engine_hexagonal,default,64,17920,0,6.571212,0.315661,0.345818,0.901868,0.966389,64
vandorlabs:impulse_engine_wedge,default,64,15104,0,2.533262,0.231453,0.259516,0.809034,0.879286,64
vandorlabs:impulse_engine,engine_joined,64,2512,0,1.455925,0.063159,0.081172,0.557985,0.652872,64
vandorlabs:ion_drive,default,16,4224,0,0.556030,0.083536,0.121898,0.439022,0.495768,64
vandorlabs:ion_drive,default,64,16896,0,2.423186,0.290975,0.309620,1.052229,1.119285,64
vandorlabs:ion_drive_hexagonal,default,64,13824,0,1.660068,0.230101,0.277310,0.749884,0.878585,64
vandorlabs:ion_drive_wedge,default,64,11520,0,1.327155,0.192490,0.225242,0.723184,0.771545,64
vandorlabs:ion_drive,engine_joined,64,1728,0,1.252946,0.048210,0.072847,0.484677,0.526746,64
vandorlabs:plasma_vent,default,16,3072,0,0.456134,0.064371,0.081232,0.400971,0.443050,64
vandorlabs:plasma_vent,default,64,12288,0,1.487565,0.224030,0.262472,1.018927,1.098346,64
vandorlabs:plasma_vent_hexagonal,default,64,13824,0,1.555723,0.231484,0.265788,0.784369,0.867013,64
vandorlabs:plasma_vent_wedge,default,64,12032,0,1.673453,0.200065,0.234008,0.735928,0.791832,64
vandorlabs:plasma_vent,engine_joined,64,2240,0,1.623670,0.060925,0.071795,0.542817,0.683089,64
vandorlabs:programmable_block,default,16,384,16,0.426329,0.028013,0.053220,0.249467,0.319368,64
vandorlabs:programmable_block,default,64,1536,64,1.249990,0.057327,0.072315,0.476983,0.565088,64
vandorlabs:programmable_block,floor_8x8,64,640,64,0.601175,0.049342,0.077024,0.291817,0.392054,64
vandorlabs:programmable_block,solid_4x4x4,64,384,64,0.446055,0.031359,0.047940,0.262552,0.342391,64
vandorlabs:programmable_block,facing_down,16,384,16,0.266239,0.026098,0.040937,0.251190,0.298289,64
vandorlabs:programmable_block,facing_up,16,384,16,0.231814,0.021300,0.034074,0.240640,0.287458,64
vandorlabs:programmable_block,facing_north,16,384,16,0.244447,0.023143,0.040355,0.240420,0.308377,64
vandorlabs:programmable_block,facing_south,16,384,16,0.206056,0.021240,0.034295,0.244458,0.288630,64
vandorlabs:programmable_block,facing_west,16,384,16,0.211055,0.021009,0.039384,0.247403,0.286216,64
vandorlabs:programmable_block,facing_east,16,384,16,0.222025,0.020078,0.038683,0.245389,0.285654,64
vandorlabs:programmable_chair,default,16,8064,0,1.463981,0.130434,0.166371,0.448700,0.514022,64
vandorlabs:programmable_chair,default,64,32256,0,5.730028,0.477363,0.505666,1.133432,1.193715,64
vandorlabs:programmable_console,default,16,0,16,0.038862,0.238636,0.294912,0.556902,0.695281,18592
vandorlabs:programmable_console,default,64,0,64,0.069941,0.639758,0.698568,1.252144,1.334389,75808
vandorlabs:programmable_diagonal_screen,default,16,0,16,0.045986,0.160861,0.215363,0.473457,0.587039,2976
vandorlabs:programmable_diagonal_screen,default,64,0,64,0.059791,0.532447,0.597468,1.146336,1.257765,11808
vandorlabs:programmable_diagonal_wall,default,16,0,16,0.037590,0.105748,0.164669,0.388748,0.476152,11808
vandorlabs:programmable_diagonal_wall,default,64,0,64,0.045355,0.281437,0.320309,0.730678,0.851294,47136
vandorlabs:programmable_door,default,16,0,16,0.164437,0.352409,0.658243,0.679612,0.994812,45984
vandorlabs:programmable_door,default,64,0,64,0.280836,1.140285,1.409329,1.755747,2.118326,180768
vandorlabs:programmable_door,door_open,64,0,64,0.336550,1.103746,1.249700,1.809658,2.007017,172576
vandorlabs:programmable_door,door_glass,64,0,64,0.163036,1.221927,1.384191,1.895028,2.060678,297504
vandorlabs:programmable_door,door_sliding,64,0,64,0.152616,0.740055,1.092856,1.340550,1.722905,161312
vandorlabs:programmable_door,door_hingeless,64,0,64,0.179136,0.738773,0.871912,1.386546,1.583054,187424
vandorlabs:programmable_door,door_center,64,0,64,0.307666,1.176012,1.281920,1.861175,1.954198,297504
vandorlabs:programmable_door,door_paired,64,0,64,0.141094,0.987609,1.071686,1.558678,1.697498,195104
vandorlabs:programmable_glass,default,16,3072,16,2.563289,0.132869,0.170619,0.430476,0.504594,4416
vandorlabs:programmable_glass,default,64,12288,64,3.164424,0.409818,0.525384,0.968263,1.089370,17472
vandorlabs:programmable_half_console,default,16,0,16,0.014066,0.146955,0.197760,0.413043,0.473747,33312
vandorlabs:programmable_half_console,default,64,0,64,0.025688,0.490748,0.552584,0.977310,1.034366,50208
vandorlabs:programmable_half_input,default,16,0,16,0.014778,0.109245,0.141175,0.375513,0.417000,6944
vandorlabs:programmable_half_input,default,64,0,64,0.038312,0.370874,0.536164,0.762538,0.929019,27680
vandorlabs:programmable_input,default,16,0,16,0.030787,0.125545,0.183403,0.402353,0.462736,6304
vandorlabs:programmable_input,default,64,0,64,0.024907,0.395470,0.447137,0.885989,0.937155,25120
vandorlabs:programmable_light,default,16,0,16,0.026780,0.063859,0.250689,0.386724,0.588321,2976
vandorlabs:programmable_light,default,64,0,64,0.035356,0.155270,0.199473,0.889435,1.078209,11808
vandorlabs:programmable_light,facing_down,16,0,16,0.015069,0.048721,0.065873,0.337411,0.418233,2976
vandorlabs:programmable_light,facing_up,16,0,16,0.017503,0.043110,0.079869,0.321502,0.405820,2976
vandorlabs:programmable_light,facing_north,16,0,16,0.017603,0.042519,0.056736,0.332954,0.389930,2976
vandorlabs:programmable_light,facing_south,16,0,16,0.029595,0.048541,0.068819,0.334046,0.389990,2976
vandorlabs:programmable_light,facing_west,16,0,16,0.016230,0.040786,0.059161,0.323946,0.383248,2976
vandorlabs:programmable_light,facing_east,16,0,16,0.016290,0.044263,0.069550,0.320710,0.384500,2976
vandorlabs:programmable_light,light_joined,64,0,64,0.030788,0.134011,0.222096,0.788406,0.919722,11808
vandorlabs:programmable_porthole_block,default,16,0,16,0.014737,0.251271,0.392575,0.598550,0.800930,36640
vandorlabs:programmable_porthole_block,default,64,0,64,0.024867,0.913901,1.432792,1.809187,2.273616,63008
vandorlabs:programmable_porthole_block,round_joined,64,0,64,0.027732,0.968763,1.359245,1.896371,2.379294,225952
