block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
minecraft:stone,default,16,384,0,0.632875,0.024205,0.046627,0.251180,0.294071,64
minecraft:stone,default,64,1536,0,0.674463,0.055264,0.069941,0.581879,0.929820,64
minecraft:stone,floor_8x8,64,640,0,0.507741,0.024416,0.043993,0.268353,0.354714,64
minecraft:stone,solid_4x4x4,64,384,0,0.539500,0.015970,0.043932,0.243516,0.335128,64
minecraft:stone_slab,default,16,384,0,0.970066,0.019847,0.038402,0.225953,0.296675,64
minecraft:stone_slab,default,64,1536,0,0.895326,0.041968,0.082475,0.392685,0.456344,64
minecraft:stone_slab,floor_8x8,64,1536,0,0.776263,0.062077,0.085891,0.334827,0.393417,64
minecraft:stone_slab,solid_4x4x4,64,1536,0,1.790913,0.040997,0.058389,0.306564,0.365304,64
minecraft:glass,default,16,384,0,0.365454,0.017583,0.029966,0.236513,0.275436,64
minecraft:glass,default,64,1536,0,0.720989,0.043031,0.058780,0.440935,0.513642,64
minecraft:glass_pane,default,16,384,0,0.442579,0.015439,0.029355,0.202500,0.241603,64
minecraft:glass_pane,default,64,1536,0,1.097986,0.035276,0.044894,0.276137,0.323075,64
minecraft:oak_stairs,default,16,768,0,0.428121,0.024817,0.044674,0.260287,0.366356,64
minecraft:oak_stairs,default,64,3072,0,1.168116,0.067086,0.084489,0.551322,0.608198,64
minecraft:redstone_lamp,default,16,384,0,0.281387,0.016030,0.029295,0.236332,0.308888,64
minecraft:redstone_lamp,default,64,1536,0,0.438592,0.043903,0.056746,0.458308,0.553626,64
minecraft:chest,default,16,0,16,0.016952,0.085681,0.127849,0.363090,0.441317,32
minecraft:chest,default,64,0,64,0.037791,0.266699,0.308879,0.687587,0.762478,32
minecraft:iron_door,default,16,640,0,0.447468,0.021260,0.035226,0.258323,0.308698,64
minecraft:iron_door,default,64,2560,0,0.870610,0.067256,0.090930,0.572131,0.826418,64
minecraft:iron_door,door_open,64,2560,0,0.753952,0.055744,0.077615,0.420438,0.478376,64
vandorlabs:impulse_engine,default,16,3840,0,0.829072,0.078206,0.099776,0.432279,0.502781,64
vandorlabs:impulse_engine,default,64,15360,0,1.988373,0.274254,0.309489,1.077888,1.141116,64
vandorlabs:impulse_engine_hexagonal,default,64,17920,0,6.782267,0.317444,0.346048,0.914883,0.957082,64
vandorlabs:impulse_engine_wedge,default,64,15104,0,2.611138,0.246852,0.275766,0.776003,0.848198,64
vandorlabs:impulse_engine,engine_joined,64,2512,0,1.689594,0.060153,0.084779,0.563444,0.635329,64
vandorlabs:ion_drive,default,16,4224,0,0.576800,0.089297,0.112250,0.432941,0.494165,64
vandorlabs:ion_drive,default,64,16896,0,2.290458,0.291736,0.344626,1.055997,1.126780,64
vandorlabs:ion_drive_hexagonal,default,64,13824,0,1.518553,0.226154,0.267801,0.783817,0.872353,64
vandorlabs:ion_drive_wedge,default,64,11520,0,1.336472,0.191348,0.238807,0.742189,0.835895,64
vandorlabs:ion_drive,engine_joined,64,1728,0,1.316735,0.047900,0.064161,0.487683,0.559868,64
vandorlabs:plasma_vent,default,16,3072,0,0.549478,0.070351,0.090669,0.406982,0.455032,64
vandorlabs:plasma_vent,default,64,12288,0,1.495179,0.233858,0.306073,0.979253,1.224312,64
vandorlabs:plasma_vent_hexagonal,default,64,13824,0,1.517601,0.231844,0.261089,0.783587,0.868566,64
vandorlabs:plasma_vent_wedge,default,64,12032,0,1.438082,0.202479,0.216155,0.723906,0.795870,64
vandorlabs:plasma_vent,engine_joined,64,2240,0,1.611897,0.055795,0.089137,0.512209,0.584434,64
vandorlabs:programmable_block,default,16,384,16,0.400830,0.022953,0.047880,0.246111,0.315431,64
vandorlabs:programmable_block,default,64,1536,64,1.073339,0.060083,0.085450,0.491741,0.555910,64
vandorlabs:programmable_block,floor_8x8,64,640,64,0.554598,0.051967,0.077104,0.299171,0.369081,64
vandorlabs:programmable_block,solid_4x4x4,64,384,64,0.425046,0.031810,0.058059,0.254036,0.320360,64
vandorlabs:programmable_block,facing_down,16,384,16,0.217718,0.024155,0.037511,0.242434,0.286276,64
vandorlabs:programmable_block,facing_up,16,384,16,0.223288,0.023524,0.035196,0.242084,0.315831,64
vandorlabs:programmable_block,facing_north,16,384,16,0.239038,0.019917,0.034726,0.241553,0.280205,64
vandorlabs:programmable_block,facing_south,16,384,16,0.211115,0.019376,0.035256,0.237514,0.275666,64
vandorlabs:programmable_block,facing_west,16,384,16,0.239949,0.021530,0.039013,0.247233,0.296425,64
vandorlabs:programmable_block,facing_east,16,384,16,0.268883,0.020929,0.035607,0.234749,0.284843,64
vandorlabs:programmable_chair,default,16,8064,0,1.704080,0.130584,0.153458,0.441186,0.498934,64
vandorlabs:programmable_chair,default,64,32256,0,6.104448,0.493334,0.534320,1.143220,1.202040,64
vandorlabs:programmable_console,default,16,0,16,0.027652,0.229700,0.329196,0.551252,0.669123,18592
vandorlabs:programmable_console,default,64,0,64,0.057087,0.635319,0.699259,1.269347,1.366679,75808
vandorlabs:programmable_diagonal_screen,default,16,0,16,0.029986,0.197079,0.340057,0.541904,0.649436,2976
vandorlabs:programmable_diagonal_screen,default,64,0,64,0.080371,0.524452,0.619860,1.165071,1.267422,11808
vandorlabs:programmable_diagonal_wall,default,16,0,16,0.022031,0.097422,0.151965,0.373940,0.439673,11808
vandorlabs:programmable_diagonal_wall,default,64,0,64,0.040195,0.290624,0.353372,0.737971,1.135246,47136
vandorlabs:programmable_door,default,16,0,16,0.111288,0.385301,0.657201,0.715930,1.175881,41120
vandorlabs:programmable_door,default,64,0,64,0.464970,1.155383,1.513894,1.799458,2.244652,161312
vandorlabs:programmable_door,door_open,64,0,64,0.190607,1.086534,1.377078,1.817061,2.163620,153120
vandorlabs:programmable_door,door_glass,64,0,64,0.193131,1.199866,1.328226,1.882324,2.160845,278048
