block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
minecraft:stone,default,16,384,0,0.888504,0.017854,0.034405,0.238677,0.288410,64
minecraft:stone,default,64,1536,0,1.240282,0.055013,0.089628,0.581449,0.770172,64
minecraft:stone,floor_8x8,64,640,0,0.817961,0.026239,0.045445,0.261249,0.462977,64
minecraft:stone,solid_4x4x4,64,384,0,0.583864,0.017944,0.040446,0.238386,0.298729,64
minecraft:stone_slab,default,16,384,0,1.090441,0.017713,0.031108,0.229520,0.270848,64
minecraft:stone_slab,default,64,1536,0,1.402967,0.037561,0.075541,0.367378,0.430736,64
minecraft:stone_slab,floor_8x8,64,1536,0,0.802382,0.057688,0.075681,0.327844,0.358502,64
minecraft:stone_slab,solid_4x4x4,64,1536,0,1.542107,0.037460,0.066755,0.299721,0.391954,64
minecraft:glass,default,16,384,0,0.409136,0.015409,0.024796,0.244988,0.268683,64
minecraft:glass,default,64,1536,0,0.717113,0.038672,0.062637,0.454220,0.533068,64
minecraft:glass_pane,default,16,384,0,0.475340,0.015039,0.027121,0.201206,0.243847,64
minecraft:glass_pane,default,64,1536,0,1.035328,0.033934,0.050134,0.276017,0.437079,64
minecraft:oak_stairs,default,16,768,0,0.407624,0.031639,0.045275,0.266389,0.314149,64
minecraft:oak_stairs,default,64,3072,0,1.109908,0.075371,0.111729,0.570188,0.671177,64
minecraft:redstone_lamp,default,16,384,0,0.155130,0.015740,0.031539,0.237044,0.267591,64
minecraft:redstone_lamp,default,64,1536,0,0.419866,0.045535,0.067015,0.456985,0.560750,64
minecraft:chest,default,16,0,16,0.015249,0.087273,0.122309,0.349174,0.417542,32
minecraft:chest,default,64,0,64,0.025397,0.271227,0.306063,0.684551,0.744714,32
minecraft:iron_door,default,16,640,0,0.340247,0.020919,0.032511,0.256280,0.303307,64
minecraft:iron_door,default,64,2560,0,0.968233,0.061575,0.081041,0.528820,0.621594,64
minecraft:iron_door,door_open,64,2560,0,0.753911,0.048050,0.068368,0.406191,0.483224,64
vandorlabs:impulse_engine,default,16,3840,0,0.852376,0.079208,0.111579,0.442819,0.502110,64
vandorlabs:impulse_engine,default,64,15360,0,2.012719,0.275185,0.320961,1.070284,1.151366,64
vandorlabs:impulse_engine_hexagonal,default,64,17920,0,7.629183,0.304941,0.349203,0.905305,0.959106,64
vandorlabs:impulse_engine_wedge,default,64,15104,0,3.173231,0.230030,0.249888,0.761095,0.831547,64
vandorlabs:impulse_engine,engine_joined,64,2512,0,2.100192,0.060784,0.084007,0.552444,0.636471,64
vandorlabs:ion_drive,default,16,4224,0,0.571259,0.084799,0.109475,0.432560,0.522278,64
vandorlabs:ion_drive,default,64,16896,0,2.046772,0.285284,0.322995,1.055196,1.146567,64
vandorlabs:ion_drive_hexagonal,default,64,13824,0,1.751409,0.256820,0.301164,0.786693,0.864158,64
vandorlabs:ion_drive_wedge,default,64,11520,0,1.346952,0.196357,0.217007,0.716131,0.758109,64
vandorlabs:ion_drive,engine_joined,64,1728,0,1.308469,0.045976,0.065703,0.466663,0.547996,64
vandorlabs:plasma_vent,default,16,3072,0,0.411601,0.065753,0.084438,0.384991,0.432860,64
vandorlabs:plasma_vent,default,64,12288,0,1.454142,0.220102,0.246692,0.956891,1.020631,64
vandorlabs:plasma_vent_hexagonal,default,64,13824,0,1.478868,0.248486,0.266569,0.799507,0.878745,64
vandorlabs:plasma_vent_wedge,default,64,12032,0,1.541015,0.204974,0.223308,0.718194,0.810538,64
vandorlabs:plasma_vent,engine_joined,64,2240,0,1.554240,0.057117,0.084518,0.521837,0.584665,64
vandorlabs:programmable_block,default,16,384,16,0.445464,0.024776,0.044965,0.252794,0.341500,64
vandorlabs:programmable_block,default,64,1536,64,0.976909,0.054692,0.081342,0.478245,0.578283,64
vandorlabs:programmable_block,floor_8x8,64,640,64,0.617646,0.052378,0.093606,0.303619,0.438712,64
vandorlabs:programmable_block,solid_4x4x4,64,384,64,0.445043,0.031359,0.047088,0.270878,0.323506,64
vandorlabs:programmable_block,facing_down,16,384,16,0.285675,0.018895,0.038983,0.241723,0.302586,64
vandorlabs:programmable_block,facing_up,16,384,16,0.326812,0.020529,0.047819,0.238486,0.279122,64
vandorlabs:programmable_block,facing_north,16,384,16,0.358731,0.027772,0.040305,0.245359,0.281838,64
vandorlabs:programmable_block,facing_south,16,384,16,0.224580,0.019767,0.035306,0.244207,0.315060,64
vandorlabs:programmable_block,facing_west,16,384,16,0.266479,0.022892,0.034835,0.249577,0.314919,64
vandorlabs:programmable_block,facing_east,16,384,16,0.283782,0.019897,0.042169,0.245039,0.306554,64
vandorlabs:programmable_chair,default,16,8064,0,1.568627,0.128802,0.166752,0.450633,0.505707,64
vandorlabs:programmable_chair,default,64,32256,0,5.856144,0.491841,0.526305,1.183476,1.352211,64
vandorlabs:programmable_console,default,16,0,16,0.028303,0.237605,0.319659,0.573824,0.665596,18592
vandorlabs:programmable_console,default,64,0,64,0.066775,0.646450,0.717042,1.242186,1.350237,75808
vandorlabs:programmable_diagonal_screen,default,16,0,16,0.027672,0.160892,0.200596,0.485309,0.561511,2976
vandorlabs:programmable_diagonal_screen,default,64,0,64,0.066735,0.534020,0.585386,1.143521,1.221968,11808
vandorlabs:programmable_diagonal_wall,default,16,0,16,0.021710,0.094647,0.168937,0.368480,0.462907,11808
vandorlabs:programmable_diagonal_wall,default,64,0,64,0.039073,0.285544,0.317775,0.752599,0.866723,47136
vandorlabs:programmable_door,default,16,0,32,0.106480,0.386303,0.678701,0.734886,1.060005,47264
vandorlabs:programmable_door,default,64,0,128,0.209873,1.130105,1.482535,1.738114,2.112144,185888
vandorlabs:programmable_door,door_open,64,0,128,0.159268,1.117402,1.432221,1.810620,2.265220,177696
vandorlabs:programmable_door,door_glass,64,0,128,0.345487,1.185650,1.299413,1.824536,2.041802,302624
vandorlabs:programmable_door,door_sliding,64,0,128,0.119905,0.712313,0.775372,1.322736,1.406824,166432
vandorlabs:programmable_door,door_hingeless,64,0,128,0.123742,0.760965,0.890347,1.394350,1.565250,192544
vandorlabs:programmable_door,door_center,64,0,128,0.259796,1.148269,1.205728,1.824866,1.934492,301088
vandorlabs:programmable_door,door_paired,64,0,128,0.166642,1.040989,1.171303,1.646353,1.888676,200224
vandorlabs:programmable_glass,default,16,3072,16,2.627810,0.055644,0.083286,0.309169,0.350867,64
vandorlabs:programmable_glass,default,64,12288,64,3.101396,0.192400,0.220814,0.589083,0.641271,64
vandorlabs:programmable_half_console,default,16,0,16,0.014127,0.164167,0.218419,0.432690,0.501018,33312
vandorlabs:programmable_half_console,default,64,0,64,0.028393,0.503032,0.733503,0.986397,1.229792,50208
vandorlabs:programmable_half_input,default,16,0,16,0.018254,0.109365,0.147836,0.371015,0.442669,6944
vandorlabs:programmable_half_input,default,64,0,64,0.038321,0.368490,0.517810,0.781042,0.961230,27680
vandorlabs:programmable_input,default,16,0,16,0.020318,0.118882,0.211646,0.398056,0.500256,6304
vandorlabs:programmable_input,default,64,0,64,0.036849,0.410208,0.582380,0.953606,1.196941,25120
vandorlabs:programmable_light,default,16,0,16,0.023925,0.057027,0.100428,0.392946,0.439994,2976
vandorlabs:programmable_light,default,64,0,64,0.064130,0.151554,0.197139,0.855882,0.935893,11808
vandorlabs:programmable_light,facing_down,16,0,16,0.026028,0.051115,0.143068,0.347621,0.451185,2976
vandorlabs:programmable_light,facing_up,16,0,16,0.063018,0.046777,0.064871,0.328345,0.385602,2976
vandorlabs:programmable_light,facing_north,16,0,16,0.016962,0.042790,0.059572,0.328244,0.413865,2976
vandorlabs:programmable_light,facing_south,16,0,16,0.016952,0.042089,0.071474,0.310732,0.400049,2976
vandorlabs:programmable_light,facing_west,16,0,16,0.019106,0.041388,0.058570,0.340377,0.525945,2976
vandorlabs:programmable_light,facing_east,16,0,16,0.019808,0.044092,0.067466,0.309109,0.401983,2976
vandorlabs:programmable_light,light_joined,64,0,64,0.035687,0.130485,0.157104,0.771845,0.818352,11808
vandorlabs:programmable_porthole_block,default,16,0,16,0.028934,0.259025,0.389890,0.602728,0.801100,36640
vandorlabs:programmable_porthole_block,default,64,0,64,0.024386,0.965899,1.390894,1.914504,2.358716,138272
vandorlabs:programmable_porthole_block,round_joined,64,0,64,0.093946,0.910575,1.319380,1.742042,2.271683,225952
vandorlabs:programmable_porthole_block,round_unjoined,64,0,64,0.026620,1.304121,1.635853,2.415112,2.806564,73248
vandorlabs:programmable_porthole_wall,default,16,0,16,0.016210,0.228037,0.267902,0.567522,0.652331,17824
vandorlabs:programmable_porthole_wall,default,64,0,64,0.026369,0.845843,1.107634,1.568637,1.871464,71200
vandorlabs:programmable_porthole_wall,round_joined,64,0,64,0.032731,0.770963,0.870820,1.482676,1.590137,69472
vandorlabs:programmable_porthole_wall,round_unjoined,64,0,64,0.023403,1.308029,1.371608,2.184229,2.411525,75296
vandorlabs:programmable_ramp,default,16,384,0,0.219040,0.017192,0.027351,0.240711,0.273292,64
vandorlabs:programmable_ramp,default,64,1536,0,0.432570,0.038672,0.057227,0.448430,0.521556,64
vandorlabs:programmable_slab,default,16,384,16,0.542917,0.017602,0.035165,0.226383,0.271568,64
vandorlabs:programmable_slab,default,64,1536,64,0.481832,0.044293,0.064641,0.385081,0.439774,64
vandorlabs:programmable_slab,floor_8x8,64,640,64,0.412773,0.029906,0.052027,0.256780,0.320680,64
vandorlabs:programmable_slab,solid_4x4x4,64,768,64,0.382536,0.027151,0.043902,0.257101,0.326110,64
vandorlabs:programmable_slab,facing_down,16,384,16,0.175408,0.017653,0.035807,0.228779,0.272610,64
vandorlabs:programmable_slab,facing_up,16,384,16,0.177322,0.018815,0.030247,0.232215,0.271228,64
vandorlabs:programmable_slab,facing_north,16,384,16,0.196487,0.016812,0.032000,0.231894,0.291455,64
vandorlabs:programmable_slab,facing_south,16,384,16,0.199483,0.016460,0.030577,0.217397,0.280695,64
vandorlabs:programmable_slab,facing_west,16,384,16,0.180869,0.015459,0.034194,0.237475,0.323015,64
vandorlabs:programmable_slab,facing_east,16,384,16,0.162454,0.015499,0.036698,0.233407,0.325970,64
vandorlabs:programmable_slab,upper_tiled,16,384,16,0.199022,0.015679,0.030186,0.221284,0.275706,64
vandorlabs:programmable_trigger_block,default,16,0,16,0.229740,0.040055,0.067767,0.307526,0.413264,5280
vandorlabs:programmable_trigger_block,default,64,0,64,0.224040,0.138329,0.236874,0.717945,0.858828,21024
vandorlabs:programmable_viewscreen,default,16,0,16,0.021280,0.150001,0.186669,0.469950,0.564046,2336
vandorlabs:programmable_viewscreen,default,64,0,64,0.050154,0.424605,0.465862,1.130967,1.304061,9248
vandorlabs:programmable_wall,default,16,0,16,0.016702,0.065843,0.108554,0.345286,0.491681,8736
vandorlabs:programmable_wall,default,64,0,64,0.036449,0.272140,0.389529,0.722753,0.926896,34848
vandorlabs:rocket_thruster,default,16,5376,0,0.730037,0.108363,0.131185,0.455713,0.506959,64
vandorlabs:rocket_thruster,default,64,21504,0,2.609496,0.346689,0.397003,1.130807,1.191070,64
vandorlabs:rocket_thruster_hexagonal,default,64,13824,0,1.390964,0.263373,0.282639,0.797132,0.860340,64
vandorlabs:rocket_thruster_wedge,default,64,11520,0,1.197131,0.215002,0.248385,0.749443,0.790229,64
vandorlabs:rocket_thruster,engine_joined,64,1952,0,1.291488,0.051086,0.069430,0.468316,0.545562,64
