block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
minecraft:stone,default,16,384,0,0.675074,0.015349,0.020969,0.246482,0.310592,64
minecraft:stone,default,64,1536,0,1.219654,0.055524,0.084448,0.619901,0.893292,64
minecraft:stone,floor_8x8,64,640,0,0.483575,0.033904,0.047188,0.280044,0.351769,64
minecraft:stone,solid_4x4x4,64,384,0,0.273262,0.017794,0.031409,0.233858,0.264274,64
minecraft:stone_slab,default,16,384,0,0.995304,0.015810,0.031850,0.222246,0.269304,64
minecraft:stone_slab,default,64,1536,0,0.798144,0.041127,0.076253,0.373048,0.492432,64
minecraft:stone_slab,floor_8x8,64,1536,0,0.778026,0.059271,0.094577,0.332542,0.392304,64
minecraft:stone_slab,solid_4x4x4,64,1536,0,1.491482,0.036358,0.050153,0.299651,0.346218,64
minecraft:glass,default,16,384,0,0.339436,0.018464,0.029826,0.244999,0.288520,64
minecraft:glass,default,64,1536,0,0.672359,0.039544,0.075842,0.451545,0.542345,64
minecraft:glass_pane,default,16,384,0,0.499976,0.014807,0.029575,0.194394,0.229970,64
minecraft:glass_pane,default,64,1536,0,1.141257,0.033603,0.049222,0.291456,0.355225,64
minecraft:oak_stairs,default,16,768,0,0.438030,0.024987,0.044713,0.272580,0.346268,64
minecraft:oak_stairs,default,64,3072,0,1.170902,0.068669,0.086061,0.508953,0.587049,64
minecraft:redstone_lamp,default,16,384,0,0.211586,0.015469,0.029024,0.250559,0.277740,64
minecraft:redstone_lamp,default,64,1536,0,0.400781,0.043091,0.052828,0.429313,0.518100,64
minecraft:chest,default,16,0,16,0.013396,0.094136,0.125164,0.352190,0.402484,32
minecraft:chest,default,64,0,64,0.032311,0.261781,0.302897,0.683740,0.746608,32
minecraft:iron_door,default,16,640,0,0.266338,0.020038,0.033943,0.261049,0.308708,64
minecraft:iron_door,default,64,2560,0,0.855331,0.058439,0.086823,0.534991,0.607717,64
minecraft:iron_door,door_open,64,2560,0,0.730307,0.056997,0.082965,0.432229,0.562173,64
vandorlabs:impulse_engine,default,16,3840,0,1.023005,0.083336,0.102562,0.449061,0.533620,64
vandorlabs:impulse_engine,default,64,15360,0,1.928280,0.273292,0.367828,1.092325,1.208182,64
vandorlabs:impulse_engine_hexagonal,default,64,17920,0,6.168488,0.312986,0.349905,0.915363,0.975486,64
vandorlabs:impulse_engine_wedge,default,64,15104,0,2.220848,0.238547,0.270987,0.792794,0.885869,64
vandorlabs:impulse_engine,engine_joined,64,2512,0,1.608541,0.059021,0.084909,0.542475,0.630781,64
vandorlabs:ion_drive,default,16,4224,0,0.553275,0.086271,0.101460,0.419044,0.456184,64
vandorlabs:ion_drive,default,64,16896,0,2.089893,0.286236,0.329397,1.055296,1.159792,64
vandorlabs:ion_drive_hexagonal,default,64,13824,0,1.648837,0.234229,0.265447,0.764771,0.815106,64
vandorlabs:ion_drive_wedge,default,64,11520,0,1.352702,0.185027,0.214912,0.722983,0.783287,64
vandorlabs:ion_drive,engine_joined,64,1728,0,1.292620,0.044503,0.065383,0.472645,0.538308,64
vandorlabs:plasma_vent,default,16,3072,0,0.443410,0.062618,0.098164,0.402944,0.457436,64
vandorlabs:plasma_vent,default,64,12288,0,1.454252,0.218549,0.260818,0.972782,1.052751,64
vandorlabs:plasma_vent_hexagonal,default,64,13824,0,1.542778,0.234710,0.281107,0.780672,0.916516,64
vandorlabs:plasma_vent_wedge,default,64,12032,0,1.514325,0.194904,0.221816,0.712334,0.749073,64
vandorlabs:plasma_vent,engine_joined,64,2240,0,1.450546,0.054923,0.067086,0.533258,0.596176,64
vandorlabs:programmable_block,default,16,384,16,0.424845,0.025708,0.050495,0.245890,0.330809,64
vandorlabs:programmable_block,default,64,1536,64,0.944809,0.057447,0.101550,0.488644,0.849481,64
vandorlabs:programmable_block,floor_8x8,64,640,64,0.540272,0.046327,0.069210,0.298999,0.344034,64
vandorlabs:programmable_block,solid_4x4x4,64,384,64,0.388177,0.029235,0.044674,0.257171,0.309139,64
vandorlabs:programmable_block,facing_down,16,384,16,0.236502,0.021440,0.037840,0.239328,0.282459,64
vandorlabs:programmable_block,facing_up,16,384,16,0.241963,0.021540,0.037991,0.243666,0.319909,64
vandorlabs:programmable_block,facing_north,16,384,16,0.236673,0.020919,0.042790,0.241312,0.277851,64
vandorlabs:programmable_block,facing_south,16,384,16,0.227756,0.023083,0.041658,0.238387,0.290624,64
vandorlabs:programmable_block,facing_west,16,384,16,0.198332,0.020699,0.035457,0.234850,0.273252,64
vandorlabs:programmable_block,facing_east,16,384,16,0.339205,0.019046,0.045024,0.231974,0.282428,64
vandorlabs:programmable_chair,default,16,8064,0,1.405772,0.131055,0.151183,0.455062,0.555790,64
vandorlabs:programmable_chair,default,64,32256,0,5.771836,0.473967,0.513772,1.130616,1.352341,64
vandorlabs:programmable_console,default,16,0,16,0.029515,0.279232,0.398706,0.610393,0.829854,18592
vandorlabs:programmable_console,default,64,0,64,0.060262,0.659024,0.717554,1.258506,1.317858,75808
vandorlabs:programmable_diagonal_screen,default,16,0,16,0.027210,0.155391,0.204022,0.471673,0.576819,2976
vandorlabs:programmable_diagonal_screen,default,64,0,64,0.059441,0.538058,0.742550,1.170943,1.357882,11808
vandorlabs:programmable_diagonal_wall,default,16,0,16,0.022291,0.091922,0.221485,0.376575,0.537206,11808
vandorlabs:programmable_diagonal_wall,default,64,0,64,0.039253,0.283010,0.342130,0.734595,0.842658,47136
vandorlabs:programmable_door,default,16,0,32,0.148368,0.395931,0.549629,0.694350,0.911566,55584
vandorlabs:programmable_door,default,64,0,128,0.305562,1.255921,1.446658,1.948729,2.208905,219168
vandorlabs:programmable_door,door_open,64,0,128,0.177182,1.193454,1.566714,1.948358,2.425651,210976
