block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
minecraft:stone,default,16,384,0,1.113164,0.021079,0.032581,0.247914,0.590446,64
minecraft:stone,default,64,1536,0,1.234912,0.053029,0.077785,0.596076,0.754382,64
minecraft:stone,floor_8x8,64,640,0,0.817621,0.024697,0.043441,0.264936,0.347480,64
minecraft:stone,solid_4x4x4,64,384,0,0.617266,0.016240,0.046558,0.244477,0.283271,64
minecraft:stone_slab,default,16,384,0,1.055446,0.015589,0.031700,0.243236,0.294402,64
minecraft:stone_slab,default,64,1536,0,1.540064,0.043351,0.065733,0.401822,0.473868,64
minecraft:stone_slab,floor_8x8,64,1536,0,0.852296,0.057358,0.083155,0.335067,0.380633,64
minecraft:stone_slab,solid_4x4x4,64,1536,0,1.557676,0.036218,0.048911,0.311794,0.418363,64
minecraft:glass,default,16,384,0,0.430375,0.015549,0.029756,0.231994,0.329147,64
minecraft:glass,default,64,1536,0,0.626654,0.047008,0.066134,0.464920,0.603029,64
minecraft:glass_pane,default,16,384,0,0.475060,0.015028,0.031138,0.203120,0.252994,64
minecraft:glass_pane,default,64,1536,0,1.050487,0.033934,0.055253,0.270927,0.377697,64
minecraft:oak_stairs,default,16,768,0,0.639667,0.023183,0.034655,0.264134,0.307936,64
minecraft:oak_stairs,default,64,3072,0,1.049965,0.070422,0.096170,0.516577,0.573193,64
minecraft:redstone_lamp,default,16,384,0,0.140653,0.015419,0.031339,0.235331,0.278892,64
minecraft:redstone_lamp,default,64,1536,0,0.466223,0.046868,0.064641,0.445474,0.555380,64
minecraft:chest,default,16,0,16,0.033653,0.089647,0.138760,0.352740,0.431368,32
minecraft:chest,default,64,0,64,0.024616,0.268202,0.313617,0.681296,0.768538,32
minecraft:iron_door,default,16,640,0,0.285986,0.022062,0.034755,0.259546,0.306113,64
minecraft:iron_door,default,64,2560,0,1.073339,0.058550,0.072686,0.545692,0.583472,64
minecraft:iron_door,door_open,64,2560,0,0.682778,0.059542,0.083516,0.432209,0.494435,64
vandorlabs:impulse_engine,default,16,3840,0,0.804436,0.079288,0.102352,0.430426,0.486881,64
vandorlabs:impulse_engine,default,64,15360,0,2.274147,0.270486,0.296215,1.075083,1.160613,64
vandorlabs:impulse_engine_hexagonal,default,64,17920,0,6.966803,0.298619,0.344144,0.914853,1.017425,64
vandorlabs:impulse_engine_wedge,default,64,15104,0,3.113369,0.239518,0.270366,0.781953,0.845513,64
vandorlabs:impulse_engine,engine_joined,64,2512,0,1.606788,0.062257,0.079569,0.547595,0.611755,64
vandorlabs:ion_drive,default,16,4224,0,0.642333,0.092964,0.115997,0.436958,0.491740,64
vandorlabs:ion_drive,default,64,16896,0,2.221950,0.296185,0.332272,1.112242,1.745568,64
vandorlabs:ion_drive_hexagonal,default,64,13824,0,1.869480,0.223378,0.254166,0.753761,0.796872,64
vandorlabs:ion_drive_wedge,default,64,11520,0,1.487344,0.191428,0.224911,0.716321,0.783136,64
vandorlabs:ion_drive,engine_joined,64,1728,0,1.313378,0.045095,0.061705,0.490769,0.530463,64
vandorlabs:plasma_vent,default,16,3072,0,0.414586,0.069641,0.089207,0.408144,0.488073,64
vandorlabs:plasma_vent,default,64,12288,0,1.501601,0.229539,0.251581,0.978873,1.015261,64
vandorlabs:plasma_vent_hexagonal,default,64,13824,0,1.552136,0.238156,0.278722,0.786262,0.860101,64
vandorlabs:plasma_vent_wedge,default,64,12032,0,2.089422,0.203181,0.236062,0.741969,0.792764,64
vandorlabs:plasma_vent,engine_joined,64,2240,0,1.449163,0.052007,0.077926,0.506027,0.574956,64
vandorlabs:programmable_block,default,16,384,0,0.562784,0.018204,0.037711,0.242524,0.296555,64
vandorlabs:programmable_block,default,64,1536,0,1.039155,0.044463,0.064621,0.462366,0.523370,64
vandorlabs:programmable_block,floor_8x8,64,640,0,0.545260,0.036168,0.048020,0.257422,0.338394,64
vandorlabs:programmable_block,solid_4x4x4,64,384,0,0.442028,0.021220,0.030968,0.245078,0.299851,64
vandorlabs:programmable_block,facing_down,16,384,0,0.219982,0.017643,0.036688,0.243747,0.272420,64
vandorlabs:programmable_block,facing_up,16,384,0,0.224200,0.019196,0.031108,0.233898,0.278281,64
vandorlabs:programmable_block,facing_north,16,384,0,0.227035,0.016501,0.033713,0.239949,0.293549,64
vandorlabs:programmable_block,facing_south,16,384,0,0.229089,0.017623,0.041788,0.249076,0.311443,64
vandorlabs:programmable_block,facing_west,16,384,0,0.229129,0.018344,0.029735,0.244879,0.286055,64
vandorlabs:programmable_block,facing_east,16,384,0,0.214632,0.019016,0.034104,0.239959,0.359603,64
vandorlabs:programmable_chair,default,16,8064,0,1.580169,0.131055,0.148418,0.443139,0.489887,64
vandorlabs:programmable_chair,default,64,32256,0,5.701444,0.463458,0.530444,1.115298,1.203803,64
vandorlabs:programmable_console,default,16,0,16,0.028413,0.233998,0.389129,0.549488,0.715770,18592
vandorlabs:programmable_console,default,64,0,64,0.061775,0.659835,0.733694,1.278985,1.449994,75808
vandorlabs:programmable_diagonal_screen,default,16,0,16,0.027511,0.164147,0.199233,0.475861,0.560810,2976
vandorlabs:programmable_diagonal_screen,default,64,0,64,0.063099,0.545451,0.598651,1.217570,1.331593,11808
vandorlabs:programmable_diagonal_wall,default,16,0,16,0.020989,0.104095,0.198332,0.385452,0.486300,11808
vandorlabs:programmable_diagonal_wall,default,64,0,64,0.050985,0.296595,0.347931,0.723715,0.795940,47136
vandorlabs:programmable_door,default,16,0,16,0.106810,0.388146,0.602117,0.730788,0.963734,41120
vandorlabs:programmable_door,default,64,0,64,0.198942,1.177725,1.697768,1.813856,2.500742,161312
vandorlabs:programmable_door,door_open,64,0,64,0.185588,1.126889,1.181923,1.831118,2.004513,153120
vandorlabs:programmable_door,door_glass,64,0,64,0.182302,1.186962,1.266631,1.862006,1.946053,278048
vandorlabs:programmable_door,door_sliding,64,0,64,0.117610,0.716892,0.803214,1.327044,1.506560,141856
vandorlabs:programmable_door,door_hingeless,64,0,64,0.116408,0.745847,0.817551,1.409750,1.510708,167968
vandorlabs:programmable_door,door_center,64,0,64,0.275055,1.162185,1.232387,1.834104,1.901199,278048
vandorlabs:programmable_door,door_paired,64,0,64,0.168275,0.993920,1.050547,1.578335,1.672641,177184
vandorlabs:programmable_glass,default,16,3072,0,2.431232,0.058420,0.081112,0.309901,0.344856,64
vandorlabs:programmable_glass,default,64,12288,0,3.131513,0.199293,0.227035,0.593000,0.647582,64
vandorlabs:programmable_half_console,default,16,0,16,0.012673,0.160019,0.228448,0.454251,0.544990,33312
